7,367,[(3,655,48)]
43,59,[(1,4,1),(4,2473,204)]
29,89,[(2,50,3)]
17,151,[(3,11,2)]
13,197,[(2,44,5),(2,743,160),(4,428,75)]
23,113,[(4,99,350)]
7,373,[(1,309,4)]
3,863,[(3,55,6),(3,4870,649),(4,506,185)]
5,521,[(1,21,2),(1,1499,198),(4,201,116)]
13,199,[(3,3,2),(3,11307,56),(4,257,258)]
37,71,[(3,61,12),(4,22841,1530)]
3,883,[(1,10700,399)]
3,877,[(4,95,258)]
7,383,[(3,857,18)]
37,73,[(1,6,1),(1,7554,713),(4,2377,330),(4,3545,1092)]
3,887,[(3,419,702)]
17,157,[(3,25,28),(3,695,26),(4,89,30)]
5,541,[(2,52,1)]
7,389,[(1,43,10)]
3,919,[(1,26,3)]
47,59,[(1,217,30)]
11,257,[(1,9,2),(1,3607,30),(4,447,124)]
7,401,[(1,13,44),(1,17,2),(1,293,28),(1,2423,22),(4,83,66),(4,1363,114),(4,6767,696)]
11,251,[(1,116,15)]
19,149,[(4,73,30)]
3,947,[(3,17624,1339)]
5,557,[(2,52,3),(2,247,180)]
29,101,[(2,48,5),(2,1353,10),(4,1124,105)]
3,937,[(1,13,4)]
5,563,[(4,79,66)]
23,127,[(1,13,6)]
3,967,[(1,5218,247)]
5,577,[(2,22,7)]
3,983,[(3,1195,728)]
5,593,[(2,9202,117)]
13,229,[(2,24,7),(2,41,6),(4,108,11)]
5,599,[(3,141,8),(3,15811,1710),(4,2391,98)]
31,97,[(1,39,2),(1,143,30),(1,439,42),(1,1809,154),(4,33,8),(4,303,364)]
11,271,[(3,265,112)]
29,103,[(3,19,2),(3,1259,736),(3,24901,68),(4,383,42)]
5,601,[(1,14,3),(1,45326,645),(4,1999,318)]
3,1009,[(1,31,2)]
7,433,[(4,5805,1034)]
11,277,[(4,133,12)]
7,431,[(1,83,2)]
13,233,[(1,5,2)]
3,1013,[(4,431,190)]
17,181,[(2,26,7)]
7,439,[(3,2616,1045),(3,4229,120),(4,1224,215)]
5,613,[(2,53,4)]
3,1031,[(3,4877,660)]
19,163,[(1,12,1),(4,2087,1092)]
3,1033,[(1,5,728),(1,1555,84),(4,841,140)]
7,443,[(1,146,341),(1,1109,136),(4,218,15)]
53,59,[(4,183,34)]
31,101,[(1,353,130),(1,2569,80),(4,23,30)]
7,449,[(1,53,10)]
29,109,[(4,7,30)]
3,1063,[(1,5510,39)]
23,139,[(1,19,6),(1,106,3),(4,58,9)]
31,103,[(1,73,540)]
7,457,[(4,1599,40)]
5,641,[(4,321,124)]
5,643,[(4,319,18)]
17,191,[(3,9,2),(3,87,10),(3,6271,78),(4,593,84),(4,1311,220),(4,7727,264)]
41,79,[(4,1661,630)]
5,653,[(2,57,2),(2,408,185),(4,124,69)]
7,463,[(1,1371,56)]
3,1091,[(3,28,5)]
7,467,[(3,10,3)]
17,193,[(2,55,4),(2,1432,5),(4,1600,123)]
5,659,[(4,9369,1694)]
5,661,[(1,16,3)]
7,479,[(3,19921,1710)]
3,1109,[(4,433,78)]
5,673,[(2,58,1)]
31,107,[(1,41,2)]
47,71,[(1,33,2)]
13,257,[(1,7,2),(1,4633,34),(4,575,132)]
5,677,[(2,3427,1248)]
19,179,[(3,2092,435)]
3,1129,[(1,19,4)]
7,491,[(1,22,1),(1,59,10),(4,38,69),(4,8158,651)]
47,73,[(4,515,378)]
43,79,[(1,6,1),(4,3073,366)]
3,1153,[(4,1919,520)]
7,487,[(1,85,6),(1,11460,667),(4,5616,1045)]
11,317,[(4,273,38)]
13,269,[(1,16,1),(1,524,91),(2,59,2),(2,317,190),(2,1477,40),(3,28,3),(3,19168,657),(3,29828,819),(4,1063,66)]
19,181,[(4,81,10)]
3,1151,[(3,1082,25),(3,10297,880)]
7,503,[(3,8,3),(3,64387,156),(4,1520,639)]
5,701,[(2,47,6),(2,57,4),(4,321,770),(4,2799,106)]
31,113,[(1,1063,10)]
5,719,[(3,9559,1482)]
13,277,[(2,60,1),(2,1152,155),(4,3935,402)]
5,709,[(4,689,54)]
11,331,[(1,20,21)]
59,61,[(4,2441,150)]
3,1187,[(3,136,9)]
3,1213,[(4,1201,70)]
