1,0,1,-27529,-1747755,2.743549,3.107355
1,0,0,-16532,789445,3.41552,3.806046
1,0,0,-83106,9212089,3.202864,3.542257
1,1,1,-5268,254018,2.828795,3.14866
0,-1,1,-7045,90805,2.637108,3.077008
1,1,1,-11684,-534294,3.162096,3.484103
1,0,1,-1099946,443930685,2.567971,3.032053
1,-1,1,-16570,797856,2.507679,2.919154
1,-1,0,-158798,24397189,2.985461,3.391696
1,-1,0,6566,43639,2.819989,3.127853
0,1,1,-39244,-3012780,3.179872,3.604979
1,0,1,-28902,1877091,3.025599,3.530747
1,0,1,2860,201525,2.936629,3.266895
1,-1,1,-71695,7403826,2.448373,2.869151
1,0,0,-11459,422050,2.840838,3.19411
1,1,1,-8422,207480,3.502414,3.696878
1,-1,0,-78011,8403432,4.338037,4.706445
0,-1,1,5886,115420,2.351171,2.735781
0,1,1,-30205,-2019723,2.622093,3.105607
0,0,1,5185,152743,2.198023,2.712601
1,1,1,-1285830,560671684,3.410916,3.783835
1,1,1,-58535,5430588,3.082134,3.380637
1,0,0,-27327,-1753628,2.604236,2.928864
1,0,0,-1655,211186,3.25565,3.60403
1,1,0,3886,189479,2.682339,3.089833
0,1,1,-2332,213380,4.058661,4.292956
0,1,1,-184860,30531510,3.232705,3.461437
0,0,1,-7048,-309595,2.818897,3.332478
1,0,1,-94202,11118631,2.7099,3.148425
0,1,1,-353427,80754487,3.130388,3.386643
1,1,0,-10384,-462459,2.406859,2.86818
1,1,0,-18220,915533,3.147033,3.637581
0,1,1,-504,-209937,2.809436,3.238587
0,0,1,-722,-209851,2.504308,2.983603
1,1,1,-149896,22273992,2.978078,3.378196
1,0,0,-17181,890384,2.562389,3.009062
0,0,1,4300,-179458,3.322812,3.743801
0,0,1,-46459,-3860067,2.882349,3.218658
0,1,1,-6757,-43813,3.230407,3.521626
1,1,1,-8103,183262,3.319123,3.652463
0,1,1,-12978,524706,3.006962,3.296108
1,-1,1,-6751,-38190,2.99105,3.360433
0,1,1,6615,-31037,2.032856,2.53208
1,1,1,-27258,1733458,2.825636,3.181526
0,-1,1,-10673,372540,3.170785,3.617457
0,0,1,-29435,1932420,3.110149,3.590582
0,1,1,-15899,794337,2.554539,2.926609
1,0,0,-1119,210130,2.453704,2.81523
1,1,1,-247543,47302320,2.655223,3.03398
0,1,1,-19919,1054923,3.162514,3.430498
1,-1,1,-19582,1080232,3.086168,3.451053
1,1,0,-16154,755227,3.017247,3.409047
0,1,1,-7429,321153,3.345978,3.687862
1,0,0,-448,-209787,2.807159,3.165093
1,0,0,-43488,3493291,3.276082,3.659319
0,-1,1,-100883,12365086,3.156393,3.469373
0,1,1,-5337,-259673,2.825786,3.251273
1,-1,1,5564,-137254,2.917728,3.229113
1,1,1,-5153,-255638,2.928845,3.33166
1,0,0,-300919,-63561126,3.221425,3.548348
1,0,0,-219471,39555514,3.234187,3.586239
1,0,0,-20305,1131546,3.240135,3.530276
1,-1,1,1910,-207730,3.431501,3.857352
1,0,1,-9190,397921,1.923797,2.447276
0,1,1,-11861,446874,2.539288,2.914153
0,1,1,-2170,212580,3.214871,3.53023
1,1,1,-1214,-210866,2.465158,2.871152
1,1,1,-126290,-17325696,2.980448,3.419115
0,0,1,-1519,-210958,3.035116,3.275241
1,-1,0,781,-209756,2.978024,3.227509
0,0,1,-33554,2356412,2.560093,2.823551
1,0,1,310,209733,2.519535,2.897762
1,-1,1,-21433,1194720,2.946376,3.297009
0,1,1,-15400,759780,2.934767,3.255247
1,-1,1,-6271,285316,2.382552,2.75348
